,date,AXS,SLP
0,2022-07-10,15.181046318558877,0.004039895028892038
1,2022-07-14,13.41265533558862,0.0037890629400598873
2,2022-07-15,13.904141597198425,0.003922059842460371
3,2022-07-16,13.990292186984894,0.003875329904092084
4,2022-07-17,14.35060156943118,0.003980680654748902
5,2022-07-18,14.630132336089204,0.0039307189154466834
6,2022-07-19,16.34423807667411,0.004201755372510138
7,2022-07-20,16.87952338962515,0.004263930899772358
8,2022-07-21,15.56703324278525,0.004346593371044021
9,2022-07-22,15.776899525283932,0.00441874435924632
10,2022-07-23,15.442510470004628,0.004270152855731061
11,2022-07-24,18.303381977721905,0.004308644651941943
12,2022-07-25,17.264614278510713,0.004311436226520889
13,2022-07-26,15.476862245605977,0.004025233095058427
14,2022-07-27,15.168813939785665,0.00396015355437982
15,2022-07-28,16.88553167592087,0.0042642125728114206
16,2022-07-29,17.286320515406576,0.004355349139356258
17,2022-07-30,18.441010110972197,0.004381443853709785
18,2022-07-31,18.932202154750502,0.004399410720665956
19,2022-08-01,18.2090942257047,0.00441570438589741
20,2022-08-02,17.87232831729554,0.00443851062590208
21,2022-08-03,17.37176460879769,0.004355481101699026
22,2022-08-04,17.31184808321748,0.004356207346569327
23,2022-08-05,17.901921284822418,0.004360560836604921
24,2022-08-06,18.480730279042508,0.00449518926831134
25,2022-08-07,18.040399386273297,0.00443726129198832
26,2022-08-08,18.60569694887669,0.004863208536650956
27,2022-08-09,18.746393731760016,0.004984081625596472
28,2022-08-10,17.737630398804114,0.004692723728007576
29,2022-08-11,18.570248810767808,0.004851851934280382
